Localidades rurales que rebasan su municipio*,,,,,
* El rebase podría ser milimétrico en algunas localidades,,,,,
Localidad rural,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,
Clave concatenada,Clave de entidad,Clave de municipio,Clave de localidad,Nombre  de  localidad,Tipo
130300011,13,30,11,Cuesta Colorada,Rural
130150018,13,15,18,El Potrero,Rural
130170012,13,17,12,San José el Marqués (Escandón),Rural
130120038,13,12,38,Agua Limpia,Rural
130240036,13,24,36,San Lorenzo el Zembo,Rural
130280028,13,28,28,Cochiscuatitla,Rural
130280075,13,28,75,Poxtla Coacuilco,Rural
130840026,13,84,26,Jagüey Colorado,Rural
130520004,13,52,4,La Concepción,Rural
130520070,13,52,70,La Loma,Rural
130180004,13,18,4,Arroyo Blanco,Rural
130220092,13,22,92,El Rialejo,Rural
130220019,13,22,19,San Miguel Nopalapa,Rural
130380018,13,38,18,San José Capulines,Rural
130050004,13,5,4,Ignacio Zaragoza,Rural
150360011,15,36,11,Tianguistongo,Rural
130270022,13,27,22,Loma de Buenavista,Rural
130030004,13,3,4,Boxaxni,Rural
130300050,13,30,50,Cañada Chica,Rural
130540013,13,54,13,Lagunilla,Rural
130300096,13,30,96,Ex-Hacienda de Ocotza,Rural
130030004,13,3,4,Boxaxni,Rural
130770113,13,77,113,Tollancingo,Rural
130160035,13,16,35,Tezoquipa,Rural
130010036,13,1,36,Lagunicatlán,Rural
130560003,13,56,3,Las Lajas,Rural
130560004,13,56,4,Los Romeros,Rural
130590028,13,59,28,El Salto,Rural
130060037,13,6,37,La Vega,Rural
130060030,13,6,30,San Antonio Tezoquipan,Rural
130530009,13,53,9,Calintla,Rural
130350026,13,35,26,Palo Gacho,Rural
130570021,13,57,21,Santa Ana Chichicuautla,Rural
130180017,13,18,17,Huatepango,Rural
130420007,13,42,7,Cuxhuacan,Rural
130760021,13,76,21,San Lucas Teacalco,Rural
150350011,15,35,11,San Miguel de los Jagüeyes,Rural
130170022,13,17,22,Zimapantongo,Rural
130830029,13,83,29,San Pedro Tlaquilpan,Rural
130410011,13,41,11,Tepeitic,Rural
130740004,13,74,4,Teocalco,Rural
130670013,13,67,13,El Tinaco,Rural
130340033,13,34,33,Xuchipantla,Rural
130260013,13,26,13,Chiatipán,Rural
130760029,13,76,29,Teocalco,Rural
130640014,13,64,14,El Retiro,Rural
130740004,13,74,4,Teocalco,Rural
130130002,13,13,2,San José Acoculco,Rural
130020027,13,2,27,Canales,Rural
130010002,13,1,2,Agustín Olvera [Colonia],Rural
130020012,13,2,12,San Pedro Tlachichilco,Rural
130800029,13,80,29,Crisolco,Rural
130140020,13,14,20,Tula,Rural
130420006,13,42,6,Coachula,Rural
130420012,13,42,12,Malila,Rural
130140014,13,14,14,Santa Lucía (Mesa de Santa Lucía),Rural
130360015,13,36,15,Tuzanapa,Rural
130520052,13,52,52,Nueva Tlaxiaca,Rural
130830130,13,83,130,El Mirador Sexta Sección,Rural
130660011,13,66,11,El Tejocote,Rural
130660018,13,66,18,Guadalupe [Colonia],Rural
130310020,13,31,20,Minas Viejas,Rural
130470003,13,47,3,El Aguacatito,Rural
140160053,14,16,53,La Palma (La Angostura),Rural
140900055,14,90,55,El Riego,Rural
141040020,14,104,20,Cartagena,Rural
140450043,14,45,43,La Garruña,Rural
140500014,14,50,14,San Pedro Tesistán,Rural
140730314,14,73,314,La Loma,Rural
10020034,1,2,34,Las Negritas,Rural
141010002,14,101,2,Agua Blanca,Rural
141200213,14,120,213,San Lorenzo,Rural
141080295,14,108,295,Miseria y Ánimas,Rural
140550004,14,55,4,Lo de Guevara (La Loma),Rural
141220039,14,122,39,Telcruz,Rural
140090043,14,9,43,Santa Sofía,Rural
140930285,14,93,285,San Antonio de los Franco (San Antonio),Rural
150850006,15,85,6,Calderas,Rural
150850028,15,85,28,San Mateo el Viejo,Rural
150710006,15,71,6,Encinillas,Rural
150450111,15,45,111,El Fresno,Rural
150800047,15,80,47,El Potrero (Potrero de Guadalupe),Rural
150210018,15,21,18,Llano Grande,Rural
151140105,15,114,105,Los Matorrales,Rural
151060140,15,106,140,San Isidro Ejido de Calixtlahuaca,Rural
150070025,15,7,25,El Capulín Tercera Sección (Palo Mancornado),Rural
150150002,15,15,2,Las Delicias,Rural
130130007,13,13,7,Coayuca,Rural
151020016,15,102,16,Quinto Barrio Santiaguito Maxda (Enzdá),Rural
150680006,15,68,6,San Lorenzo Tlaltecoyan (Tlaltecoyac),Rural
150610005,15,61,5,San Miguel Atepoxco,Rural
150610005,15,61,5,San Miguel Atepoxco,Rural
150550007,15,55,7,El Calvario,Rural
150400011,15,40,11,Puerta Grande,Rural
150910012,15,91,12,San Sebastián,Rural
151030004,15,103,4,San Lorenzo Tlalmimilolpan,Rural
150450010,15,45,10,Danxho,Rural
150990161,15,99,161,Puente Quebrado (Pozo San Isidro),Rural
161120048,16,112,48,Rincón del Ahorcado,Rural
150070018,15,7,18,San Sebastián el Grande,Rural
130130018,13,13,18,Praderas del Potrero,Rural
130630005,13,63,5,La Loma,Rural
130520005,13,52,5,Chapultepec de Pozos,Rural
130520023,13,52,23,Guadalupe los Manantiales [Colonia],Rural
150570293,15,57,293,Colonia Luis Donaldo Colosio (Piedra de Alesna),Rural
150870039,15,87,39,Ranchería las Lomas,Rural
151010048,15,101,48,Colonia las Granjas,Rural
130440033,13,44,33,San Sebastián de Juárez,Rural
130630008,13,63,8,Ojo de Agua,Rural
130630002,13,63,2,El Banco (El Banco Vega de Madero),Rural
150560012,15,56,12,Tlalpujahuilla,Rural
150870039,15,87,39,Ranchería las Lomas,Rural
150740126,15,74,126,Ejido del Tunal Nenaxi,Rural
150420018,15,42,18,San Francisco de Guzmán,Rural
150620004,15,62,4,Colonia Juárez (Los Chirinos),Rural
150620011,15,62,11,San Antonio el Llanito,Rural
150630010,15,63,10,Chalmita,Rural
170050007,17,5,7,Colonia Morelos,Rural
150240101,15,24,101,Fraccionamiento Parque San Mateo (Hacienda San Mateo),Rural
151120020,15,112,20,Pueblo Nuevo,Rural
150460016,15,46,16,Barrio la Cuesta,Rural
150460016,15,46,16,Barrio la Cuesta,Rural
150950043,15,95,43,Granjas Hogar y Petrohuertos Delegación,Rural
130830031,13,83,31,Venustiano Carranza,Rural
151010052,15,101,52,Colonia Campesina,Rural
150520008,15,52,8,Chalma,Rural
170150006,17,15,6,Palpan de Baranda,Rural
150870023,15,87,23,San José Buenavista el Grande,Rural
150870040,15,87,40,Llano de la Y,Rural
150150004,15,15,4,Popo Park,Rural
130440005,13,44,5,El Fresno (Casas Viejas),Rural
130440077,13,44,77,Puerto Dañu,Rural
150180033,15,18,33,Residencial Rancho el Mesón,Rural
150420006,15,42,6,La Guadalupana (El Sauco),Rural
150920107,15,92,107,Ampliación San Francisco,Rural
150820171,15,82,171,Tenería (Pueblo Nuevo),Rural
151100040,15,110,40,San Nicolás Tolentino,Rural
150450027,15,45,27,San Miguel de la Victoria,Rural
130630008,13,63,8,Ojo de Agua,Rural
150040016,15,4,16,Sexta Manzana,Rural
130750009,13,75,9,Las Pintas,Rural
130690065,13,69,65,Huitzila-Tepojaco [Corredor Industrial],Rural
151100083,15,110,83,Atesquelites (Tres Quelites),Rural
